2026-07-20 12:05:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 11:45:00 (Monday) UTC
2026-07-20 12:05:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 11:45:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 12:10:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 11:45:00 (Monday) UTC
2026-07-20 12:10:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 11:45:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 12:15:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 12:00:00 (Monday) UTC
2026-07-20 12:15:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 12:00:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64568.57 slow=64422.20). No crossover.
2026-07-20 12:20:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 12:00:00 (Monday) UTC
2026-07-20 12:20:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 12:00:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 12:25:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 12:00:00 (Monday) UTC
2026-07-20 12:25:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 12:00:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 12:30:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 12:15:00 (Monday) UTC
2026-07-20 12:30:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 12:15:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64594.82 slow=64447.44). No crossover.
2026-07-20 12:35:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 12:15:00 (Monday) UTC
2026-07-20 12:35:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 12:15:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 12:40:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 12:15:00 (Monday) UTC
2026-07-20 12:40:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 12:15:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 12:45:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 12:30:00 (Monday) UTC
2026-07-20 12:45:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 12:30:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64595.85 slow=64461.30). No crossover.
